id;nama;propinsi;kab;alamat;jenis;kelas;status_blu;kepemilikan;total_tempat_tidur;total_layanan;total_tenaga_kerja
3578261;RS Ibu dan Anak IBI Surabaya;Jawa Timur;Kota Surabaya;Jl. Dupak No. 15A Surabaya, kelurahan gundih, kecamatan bubutan kota surabaya provinsi jawa timur;Rumah Sakit Khusus Ibu dan Anak;C;Non BLU/BLUD;Organisasi Sosial;31;13;87
3578769;RS Ibu dan Anak Kendangsari Merr;Jawa Timur;Kota Surabaya;Jl. Dr. Ir. Soekarno No. 2, Kalijudan, Mulyorejo, Surabaya, Jawa Timur, Indonesia;Rumah Sakit Khusus Ibu dan Anak;C;Non BLU/BLUD;SWASTA/LAINNYA;30;20;143
3578768;RS Ibu dan Anak Lombok Dua Dua Lontar;Jawa Timur;Kota Surabaya;Jl. Lontar No. 206 (lama Jl. Raya Lontar No. 109) Surabaya;Rumah Sakit Khusus Ibu dan Anak;C;Non BLU/BLUD;Perusahaan;28;16;83
3578100;RS Umum Adi Husada Kapasari;Jawa Timur;Kota Surabaya;Jl. Kapasari No. 97-101 Surabaya;Rumah Sakit Umum;C;Non BLU/BLUD;Organisasi Sosial;103;72;341
3578793;RS PKU Muhammadiyah Surabaya;Jawa Timur;Kota Surabaya;JL. KH MAS MANSYUR 180-182, KELURAHAN NYAMPLUNGAN, KECAMATAN PABEAN CANTIAN, KOTA SURABAYA, PROVINSI JAWA TIMUR;Rumah Sakit Umum;D;Non BLU/BLUD;Organisasi Islam ;50;22;129
3578781;RS Umum Royal Surabaya ;Jawa Timur;Kota Surabaya;JL. Rungkut Industri I/1 Surabaya;Rumah Sakit Umum;B;Non BLU/BLUD;SWASTA/LAINNYA;200;32;265
3578810;RS Ubaya;Jawa Timur;Kota Surabaya;Jl. Panjang Jiwo Permai No. 89, Kecamatan Tenggilis Mejoyo;Rumah Sakit Umum;B;Non BLU/BLUD;Perusahaan;200;50;0
3578603;RS Gotong Royong;Jawa Timur;Kota Surabaya;Jl. Medokan Semampir Indah No. 97 Surabaya;Rumah Sakit Umum;C;Non BLU/BLUD;Organisasi Sosial;138;42;323
3578794;RS Ibu dan Anak Pusura Tegalsari;Jawa Timur;Kota Surabaya;JL. Tegalsari No.59 Surabaya;Rumah Sakit Khusus Ibu dan Anak;C;Non BLU/BLUD;SWASTA/LAINNYA;25;17;22
3578476;RS Al Irsyad Surabaya;Jawa Timur;Kota Surabaya;Jl. KHM.Mansyur No. 210 - 214 dan 191 Surabaya;Rumah Sakit Umum;C;Non BLU/BLUD;Organisasi Sosial;146;73;412
3578771;RS Ibu dan Anak Putri Surabaya;Jawa Timur;Kota Surabaya;Jl. Arief Rahman Hakim No. 130 Surabaya;Rumah Sakit Khusus Ibu dan Anak;C;Non BLU/BLUD;SWASTA/LAINNYA;49;21;186
3578020;RSPAL dr. Ramelan;Jawa Timur;Kota Surabaya;Jl. Gadung No. 1 Surabaya;Rumah Sakit Umum;A;BLU;TNI AL;759;132;1022
3578122;RS Umum Tk. III Brawijaya;Jawa Timur;Kota Surabaya;Jl. Kesatrian No.17 Surabaya;Rumah Sakit Umum;C;Non BLU/BLUD;TNI AD;111;52;308
3578625;RS Gigi dan Mulut FKG Universitas Airlangga;Jawa Timur;Kota Surabaya;Jl. Prof Dr. Moestopo 47 Surabaya;Rumah Sakit Khusus Gigi dan Mulut;B;Non BLU/BLUD;Kementerian Lain;16;14;280
3578778;RS National Hospital;Jawa Timur;Kota Surabaya;Jl. Boulevard Famili Selatan kav. 1, Surabaya;Rumah Sakit Umum;B;Non BLU/BLUD;SWASTA/LAINNYA;200;96;384
3578812;RS Ibu dan Anak Adi Guna;Jawa Timur;Kota Surabaya;Jl. Alun-alun Rangkah no. 1-3 kelurahan. Rangkah kecamatan. Tambaksari Kota Surabaya;Rumah Sakit Khusus Ibu dan Anak;C;Non BLU/BLUD;Perorangan;25;17;0
3578786;RS Mata Masyarakat Jawa Timur;Jawa Timur;Kota Surabaya; JL. Ketintang Baru Selatan I No. 1 Surabaya;Rumah Sakit Khusus Mata;B;BLUD;Pemprop;32;34;254
3578556;RS Premier Surabaya;Jawa Timur;Kota Surabaya;Jl. Nginden Intan Barat B;Rumah Sakit Umum;B;Non BLU/BLUD;SWASTA/LAINNYA;198;114;534
3578811;RS Umum Pusat Surabaya;Jawa Timur;Kota Surabaya;Jl. Indrapura No. 17 Kemayoran;Rumah Sakit Umum;A;Non BLU/BLUD;Kemkes ;7;16;0
3578042;RS Katolik St. Vincentius a Paulo;Jawa Timur;Kota Surabaya;Jl. Diponegoro 51 Surabaya;Rumah Sakit Umum;B;Non BLU/BLUD;Organisasi Katholik;249;122;1206
3578166;RS Soemitro Lanud Moeljono Surabaya;Jawa Timur;Kota Surabaya;Jl.Serayu No. 17 Surabaya;Rumah Sakit Umum;D;Non BLU/BLUD;TNI AU;56;32;141
3578742;RS Islam Darus Syifa;Jawa Timur;Kota Surabaya;Jl. Raya Benowo No.5,Surabaya;Rumah Sakit Umum;C;Non BLU/BLUD;Organisasi Sosial;145;57;311
3578322;RS Umum Daerah Husada Prima;Jawa Timur;Kota Surabaya;Jl. Karang Tembok No. 39 Surabaya;Rumah Sakit Umum;C;BLUD;Pemprop;108;34;208
3578772;RS Manyar Medical Centre;Jawa Timur;Kota Surabaya;Jl. Manyar No.9, Surabaya;Rumah Sakit Umum;C;Non BLU/BLUD;Perusahaan;103;48;323
3578571;RS Umum Daerah dr. Mohamad Soewandhie;Jawa Timur;Kota Surabaya;Jl. Tambakrejo No. 45-47 Surabaya;Rumah Sakit Umum;B;BLUD;Pemkot;396;49;1247
3578064;RS Adi Husada Undaan;Jawa Timur;Kota Surabaya;Jl. Undaan Wetan No. 40-44, Surabaya;Rumah Sakit Umum;B;Non BLU/BLUD;SWASTA/LAINNYA;196;95;818
3578202;RS Mata Undaan;Jawa Timur;Kota Surabaya;Jl. Undaan Kulon 17-19 Surabaya;Rumah Sakit Khusus Mata;B;Non BLU/BLUD;Organisasi Sosial;48;26;266
3578764;RS Bhayangkara TK II HS. Samsoeri Mertojoso;Jawa Timur;Kota Surabaya;Jl. A. Yani No. 116, Surabaya;Rumah Sakit Umum;B;Non BLU/BLUD;POLRI;205;79;332
3578224;RS Umum Islam Surabaya Jemursari ;Jawa Timur;Kota Surabaya;Jl. Jemursari No 51-57, Surabaya;Rumah Sakit Umum;B;Non BLU/BLUD;SWASTA/LAINNYA;290;63;910
3578767;RS Ibu dan Anak Cempaka Putih Permata;Jawa Timur;Kota Surabaya;Jl. Jambangan Kebon Agung No.8, Kec. Jambangan, Surabaya, Jawa Timur;Rumah Sakit Khusus Ibu dan Anak;C;Non BLU/BLUD;Perusahaan;27;31;65
3578090;RS TNI AL Dr. Oepomo;Jawa Timur;Kota Surabaya;Jl. Laksda M.Nazir No.56 Surabaya;Rumah Sakit Umum;D;Non BLU/BLUD;TNI AL;51;21;105
3578593;RS Ibu dan Anak Pura Raharja;Jawa Timur;Kota Surabaya;JL. PUCANG ADI NO.12-14;Rumah Sakit Khusus Ibu dan Anak;C;Non BLU/BLUD;Organisasi Sosial;72;19;175
3578789;RS Ibu dan Anak Kendangsari Surabaya;Jawa Timur;Kota Surabaya;Jl. Raya Kendangsari No. 38 Surabaya;Rumah Sakit Khusus Ibu dan Anak;C;Non BLU/BLUD;SWASTA/LAINNYA;20;32;210
3578235;RS Bunda ;Jawa Timur;Kota Surabaya;Jl. Raya Kandangan 23-24 Surabaya;Rumah Sakit Umum;D;Non BLU/BLUD;SWASTA/LAINNYA;50;23;140
